year_val,month_val,FIPS,Count
2011,Jan,25017310101,2
2011,Jan,25017310102,3
2011,Jan,25017310400,2
2011,Jan,25017310602,1
2011,Jan,25017311200,1
2011,Jan,25017311600,1
2011,Jan,25017311700,1
2011,Jan,25017311800,2
2011,Jan,25017311900,3
2011,Jan,25017312000,1
2011,Jan,25017312300,1
2011,Jan,25017312400,1
2011,Jan,25017312502,1
2011,Jan,25017388300,1
2011,Jan,25017310200,0
2011,Jan,25017310300,0
2011,Jan,25017310500,0
2011,Jan,25017310601,0
2011,Jan,25017310700,0
2011,Jan,25017311100,0
2011,Jan,25017311300,0
2011,Jan,25017311400,0
2011,Jan,25017311500,0
2011,Jan,25017312100,0
2011,Jan,25017312200,0
2011,Jan,25017312501,0
2011,Feb,25017310101,2
2011,Feb,25017310102,4
2011,Feb,25017310500,1
2011,Feb,25017310601,1
2011,Feb,25017310602,2
2011,Feb,25017311100,1
2011,Feb,25017311200,1
2011,Feb,25017312200,1
2011,Feb,25017312300,3
2011,Feb,25017312400,2
2011,Feb,25017388300,4
2011,Feb,25017310200,0
2011,Feb,25017310300,0
2011,Feb,25017310400,0
2011,Feb,25017310700,0
2011,Feb,25017311300,0
2011,Feb,25017311400,0
2011,Feb,25017311500,0
2011,Feb,25017311600,0
2011,Feb,25017311700,0
2011,Feb,25017311800,0
2011,Feb,25017311900,0
2011,Feb,25017312000,0
2011,Feb,25017312100,0
2011,Feb,25017312501,0
2011,Feb,25017312502,0
2011,Mar,25017310101,4
2011,Mar,25017310102,4
2011,Mar,25017311200,2
2011,Mar,25017311900,1
2011,Mar,25017312000,2
2011,Mar,25017312100,1
2011,Mar,25017312300,1
2011,Mar,25017312400,2
2011,Mar,25017388300,1
2011,Mar,25017310200,0
2011,Mar,25017310300,0
2011,Mar,25017310400,0
2011,Mar,25017310500,0
2011,Mar,25017310601,0
2011,Mar,25017310602,0
2011,Mar,25017310700,0
2011,Mar,25017311100,0
2011,Mar,25017311300,0
2011,Mar,25017311400,0
2011,Mar,25017311500,0
2011,Mar,25017311600,0
2011,Mar,25017311700,0
2011,Mar,25017311800,0
2011,Mar,25017312200,0
2011,Mar,25017312501,0
2011,Mar,25017312502,0
2011,Apr,25017310101,4
2011,Apr,25017310200,2
2011,Apr,25017310601,1
2011,Apr,25017310602,2
2011,Apr,25017311100,1
2011,Apr,25017311200,1
2011,Apr,25017311900,2
2011,Apr,25017312000,1
2011,Apr,25017312200,1
2011,Apr,25017310102,0
2011,Apr,25017310300,0
2011,Apr,25017310400,0
2011,Apr,25017310500,0
2011,Apr,25017310700,0
2011,Apr,25017311300,0
2011,Apr,25017311400,0
2011,Apr,25017311500,0
2011,Apr,25017311600,0
2011,Apr,25017311700,0
2011,Apr,25017311800,0
2011,Apr,25017312100,0
2011,Apr,25017312300,0
2011,Apr,25017312400,0
2011,Apr,25017312501,0
2011,Apr,25017312502,0
2011,Apr,25017388300,0
2011,May,25017310101,6
2011,May,25017310102,1
2011,May,25017310200,1
2011,May,25017310300,2
2011,May,25017310400,2
2011,May,25017310500,1
2011,May,25017310700,1
2011,May,25017311100,1
2011,May,25017311200,1
2011,May,25017311300,1
2011,May,25017311800,2
2011,May,25017311900,1
2011,May,25017312000,1
2011,May,25017388300,1
2011,May,25017310601,0
2011,May,25017310602,0
2011,May,25017311400,0
2011,May,25017311500,0
2011,May,25017311600,0
2011,May,25017311700,0
2011,May,25017312100,0
2011,May,25017312200,0
2011,May,25017312300,0
2011,May,25017312400,0
2011,May,25017312501,0
2011,May,25017312502,0
2011,Jun,25017310101,4
2011,Jun,25017310102,1
2011,Jun,25017310200,2
2011,Jun,25017310601,1
2011,Jun,25017310602,1
2011,Jun,25017310700,2
2011,Jun,25017311100,3
2011,Jun,25017311200,1
2011,Jun,25017311300,1
2011,Jun,25017311500,1
2011,Jun,25017311700,1
2011,Jun,25017311800,1
2011,Jun,25017312300,1
2011,Jun,25017312400,1
2011,Jun,25017388300,1
2011,Jun,25017310300,0
2011,Jun,25017310400,0
2011,Jun,25017310500,0
2011,Jun,25017311400,0
2011,Jun,25017311600,0
2011,Jun,25017311900,0
2011,Jun,25017312000,0
2011,Jun,25017312100,0
2011,Jun,25017312200,0
2011,Jun,25017312501,0
2011,Jun,25017312502,0
2011,Jul,25017310101,4
2011,Jul,25017310102,3
2011,Jul,25017310200,2
2011,Jul,25017310400,1
2011,Jul,25017310500,1
2011,Jul,25017311200,1
2011,Jul,25017311400,1
2011,Jul,25017311600,1
2011,Jul,25017311700,1
2011,Jul,25017311900,2
2011,Jul,25017312000,1
2011,Jul,25017312100,1
2011,Jul,25017312501,1
2011,Jul,25017310300,0
2011,Jul,25017310601,0
2011,Jul,25017310602,0
2011,Jul,25017310700,0
2011,Jul,25017311100,0
2011,Jul,25017311300,0
2011,Jul,25017311500,0
2011,Jul,25017311800,0
2011,Jul,25017312200,0
2011,Jul,25017312300,0
2011,Jul,25017312400,0
2011,Jul,25017312502,0
2011,Jul,25017388300,0
2011,Aug,25017310101,1
2011,Aug,25017310102,2
2011,Aug,25017310400,1
2011,Aug,25017310500,1
2011,Aug,25017310601,1
2011,Aug,25017310602,2
2011,Aug,25017311100,1
2011,Aug,25017311400,1
2011,Aug,25017311600,1
2011,Aug,25017311700,1
2011,Aug,25017312000,1
2011,Aug,25017312100,1
2011,Aug,25017312300,1
2011,Aug,25017310200,0
2011,Aug,25017310300,0
2011,Aug,25017310700,0
2011,Aug,25017311200,0
2011,Aug,25017311300,0
2011,Aug,25017311500,0
2011,Aug,25017311800,0
2011,Aug,25017311900,0
2011,Aug,25017312200,0
2011,Aug,25017312400,0
2011,Aug,25017312501,0
2011,Aug,25017312502,0
2011,Aug,25017388300,0
2011,Sep,25017310101,1
2011,Sep,25017310102,3
2011,Sep,25017310300,2
2011,Sep,25017310700,1
2011,Sep,25017311100,1
2011,Sep,25017311300,2
2011,Sep,25017311600,1
2011,Sep,25017311900,2
2011,Sep,25017312100,1
2011,Sep,25017312300,2
2011,Sep,25017312400,1
2011,Sep,25017312502,1
2011,Sep,25017388300,3
2011,Sep,25017310200,0
2011,Sep,25017310400,0
2011,Sep,25017310500,0
2011,Sep,25017310601,0
2011,Sep,25017310602,0
2011,Sep,25017311200,0
2011,Sep,25017311400,0
2011,Sep,25017311500,0
2011,Sep,25017311700,0
2011,Sep,25017311800,0
2011,Sep,25017312000,0
2011,Sep,25017312200,0
2011,Sep,25017312501,0
2011,Oct,25017310101,4
2011,Oct,25017310200,1
2011,Oct,25017310300,1
2011,Oct,25017310400,1
2011,Oct,25017311300,2
2011,Oct,25017311600,1
2011,Oct,25017311900,2
2011,Oct,25017388300,1
2011,Oct,25017310102,0
2011,Oct,25017310500,0
2011,Oct,25017310601,0
2011,Oct,25017310602,0
2011,Oct,25017310700,0
2011,Oct,25017311100,0
2011,Oct,25017311200,0
2011,Oct,25017311400,0
2011,Oct,25017311500,0
2011,Oct,25017311700,0
2011,Oct,25017311800,0
2011,Oct,25017312000,0
2011,Oct,25017312100,0
2011,Oct,25017312200,0
2011,Oct,25017312300,0
2011,Oct,25017312400,0
2011,Oct,25017312501,0
2011,Oct,25017312502,0
2011,Nov,25017310101,2
2011,Nov,25017310102,1
2011,Nov,25017310300,1
2011,Nov,25017311700,2
2011,Nov,25017311800,2
2011,Nov,25017311900,2
2011,Nov,25017312000,1
2011,Nov,25017312200,1
2011,Nov,25017388300,2
2011,Nov,25017310200,0
2011,Nov,25017310400,0
2011,Nov,25017310500,0
2011,Nov,25017310601,0
2011,Nov,25017310602,0
2011,Nov,25017310700,0
2011,Nov,25017311100,0
2011,Nov,25017311200,0
2011,Nov,25017311300,0
2011,Nov,25017311400,0
2011,Nov,25017311500,0
2011,Nov,25017311600,0
2011,Nov,25017312100,0
2011,Nov,25017312300,0
2011,Nov,25017312400,0
2011,Nov,25017312501,0
2011,Nov,25017312502,0
2011,Dec,25017310101,4
2011,Dec,25017310500,1
2011,Dec,25017310700,1
2011,Dec,25017311200,1
2011,Dec,25017312000,1
2011,Dec,25017312300,1
2011,Dec,25017312400,1
2011,Dec,25017310102,0
2011,Dec,25017310200,0
2011,Dec,25017310300,0
2011,Dec,25017310400,0
2011,Dec,25017310601,0
2011,Dec,25017310602,0
2011,Dec,25017311100,0
2011,Dec,25017311300,0
2011,Dec,25017311400,0
2011,Dec,25017311500,0
2011,Dec,25017311600,0
2011,Dec,25017311700,0
2011,Dec,25017311800,0
2011,Dec,25017311900,0
2011,Dec,25017312100,0
2011,Dec,25017312200,0
2011,Dec,25017312501,0
2011,Dec,25017312502,0
2011,Dec,25017388300,0
2012,Jan,25017310101,7
2012,Jan,25017310102,1
2012,Jan,25017310200,2
2012,Jan,25017310300,2
2012,Jan,25017310400,3
2012,Jan,25017310500,1
2012,Jan,25017310601,1
2012,Jan,25017311100,1
2012,Jan,25017311300,4
2012,Jan,25017311500,1
2012,Jan,25017311600,1
2012,Jan,25017311900,5
2012,Jan,25017312000,1
2012,Jan,25017312200,2
2012,Jan,25017312400,2
2012,Jan,25017388300,2
2012,Jan,25017310602,0
2012,Jan,25017310700,0
2012,Jan,25017311200,0
2012,Jan,25017311400,0
2012,Jan,25017311700,0
2012,Jan,25017311800,0
2012,Jan,25017312100,0
2012,Jan,25017312300,0
2012,Jan,25017312501,0
2012,Jan,25017312502,0
2012,Feb,25017310101,6
2012,Feb,25017310102,2
2012,Feb,25017310200,4
2012,Feb,25017310300,2
2012,Feb,25017310601,1
2012,Feb,25017310602,1
2012,Feb,25017310700,1
2012,Feb,25017311100,1
2012,Feb,25017311200,1
2012,Feb,25017311700,1
2012,Feb,25017311800,1
2012,Feb,25017311900,3
2012,Feb,25017312400,1
2012,Feb,25017310400,0
2012,Feb,25017310500,0
2012,Feb,25017311300,0
2012,Feb,25017311400,0
2012,Feb,25017311500,0
2012,Feb,25017311600,0
2012,Feb,25017312000,0
2012,Feb,25017312100,0
2012,Feb,25017312200,0
2012,Feb,25017312300,0
2012,Feb,25017312501,0
2012,Feb,25017312502,0
2012,Feb,25017388300,0
2012,Mar,25017310101,6
2012,Mar,25017310102,4
2012,Mar,25017310200,5
2012,Mar,25017310300,1
2012,Mar,25017310400,3
2012,Mar,25017311100,4
2012,Mar,25017311300,3
2012,Mar,25017311400,2
2012,Mar,25017311800,1
2012,Mar,25017311900,4
2012,Mar,25017312000,1
2012,Mar,25017312100,2
2012,Mar,25017312200,2
2012,Mar,25017312400,1
2012,Mar,25017312501,1
2012,Mar,25017312502,1
2012,Mar,25017388300,4
2012,Mar,25017310500,0
2012,Mar,25017310601,0
2012,Mar,25017310602,0
2012,Mar,25017310700,0
2012,Mar,25017311200,0
2012,Mar,25017311500,0
2012,Mar,25017311600,0
2012,Mar,25017311700,0
2012,Mar,25017312300,0
2012,Apr,25017310101,10
2012,Apr,25017310102,4
2012,Apr,25017310200,3
2012,Apr,25017310300,1
2012,Apr,25017310400,1
2012,Apr,25017310602,7
2012,Apr,25017310700,1
2012,Apr,25017311300,1
2012,Apr,25017311500,2
2012,Apr,25017311700,1
2012,Apr,25017311900,4
2012,Apr,25017312200,2
2012,Apr,25017312300,1
2012,Apr,25017312501,1
2012,Apr,25017312502,1
2012,Apr,25017388300,2
2012,Apr,25017310500,0
2012,Apr,25017310601,0
2012,Apr,25017311100,0
2012,Apr,25017311200,0
2012,Apr,25017311400,0
2012,Apr,25017311600,0
2012,Apr,25017311800,0
2012,Apr,25017312000,0
2012,Apr,25017312100,0
2012,Apr,25017312400,0
2012,May,25017310101,5
2012,May,25017310102,3
2012,May,25017310200,3
2012,May,25017310602,2
2012,May,25017311100,2
2012,May,25017311200,4
2012,May,25017311300,1
2012,May,25017311600,1
2012,May,25017311700,3
2012,May,25017311800,1
2012,May,25017311900,4
2012,May,25017312000,1
2012,May,25017312100,1
2012,May,25017312300,2
2012,May,25017312400,2
2012,May,25017388300,1
2012,May,25017310300,0
2012,May,25017310400,0
2012,May,25017310500,0
2012,May,25017310601,0
2012,May,25017310700,0
2012,May,25017311400,0
2012,May,25017311500,0
2012,May,25017312200,0
2012,May,25017312501,0
2012,May,25017312502,0
2012,Jun,25017310101,13
2012,Jun,25017310102,7
2012,Jun,25017310200,3
2012,Jun,25017310300,3
2012,Jun,25017310400,3
2012,Jun,25017310602,3
2012,Jun,25017310700,1
2012,Jun,25017311100,4
2012,Jun,25017311200,2
2012,Jun,25017311300,1
2012,Jun,25017311700,6
2012,Jun,25017311800,4
2012,Jun,25017311900,7
2012,Jun,25017312000,2
2012,Jun,25017312100,3
2012,Jun,25017312300,2
2012,Jun,25017388300,5
2012,Jun,25017310500,0
2012,Jun,25017310601,0
2012,Jun,25017311400,0
2012,Jun,25017311500,0
2012,Jun,25017311600,0
2012,Jun,25017312200,0
2012,Jun,25017312400,0
2012,Jun,25017312501,0
2012,Jun,25017312502,0
2012,Jul,25017310101,3
2012,Jul,25017310102,4
2012,Jul,25017310200,5
2012,Jul,25017310300,2
2012,Jul,25017310601,1
2012,Jul,25017310602,1
2012,Jul,25017310700,2
2012,Jul,25017311100,1
2012,Jul,25017311400,1
2012,Jul,25017311800,1
2012,Jul,25017311900,2
2012,Jul,25017312000,1
2012,Jul,25017312100,1
2012,Jul,25017312200,2
2012,Jul,25017312300,1
2012,Jul,25017388300,1
2012,Jul,25017310400,0
2012,Jul,25017310500,0
2012,Jul,25017311200,0
2012,Jul,25017311300,0
2012,Jul,25017311500,0
2012,Jul,25017311600,0
2012,Jul,25017311700,0
2012,Jul,25017312400,0
2012,Jul,25017312501,0
2012,Jul,25017312502,0
2012,Aug,25017310101,10
2012,Aug,25017310102,4
2012,Aug,25017310200,1
2012,Aug,25017310300,1
2012,Aug,25017310400,1
2012,Aug,25017310601,1
2012,Aug,25017310700,1
2012,Aug,25017311100,3
2012,Aug,25017311200,1
2012,Aug,25017311400,2
2012,Aug,25017311500,1
2012,Aug,25017311700,1
2012,Aug,25017311800,2
2012,Aug,25017312000,2
2012,Aug,25017312300,1
2012,Aug,25017312400,3
2012,Aug,25017312501,1
2012,Aug,25017312502,1
2012,Aug,25017388300,3
2012,Aug,25017310500,0
2012,Aug,25017310602,0
2012,Aug,25017311300,0
2012,Aug,25017311600,0
2012,Aug,25017311900,0
2012,Aug,25017312100,0
2012,Aug,25017312200,0
2012,Sep,25017310101,8
2012,Sep,25017310102,5
2012,Sep,25017310200,4
2012,Sep,25017310300,2
2012,Sep,25017310400,2
2012,Sep,25017310601,2
2012,Sep,25017310700,1
2012,Sep,25017311200,3
2012,Sep,25017311300,1
2012,Sep,25017311600,1
2012,Sep,25017311700,4
2012,Sep,25017311800,2
2012,Sep,25017311900,5
2012,Sep,25017312000,3
2012,Sep,25017312100,3
2012,Sep,25017312200,2
2012,Sep,25017312300,2
2012,Sep,25017312400,1
2012,Sep,25017312502,2
2012,Sep,25017388300,3
2012,Sep,25017310500,0
2012,Sep,25017310602,0
2012,Sep,25017311100,0
2012,Sep,25017311400,0
2012,Sep,25017311500,0
2012,Sep,25017312501,0
2012,Oct,25017310101,5
2012,Oct,25017310102,4
2012,Oct,25017310200,4
2012,Oct,25017310400,2
2012,Oct,25017310500,1
2012,Oct,25017310700,1
2012,Oct,25017311100,2
2012,Oct,25017311200,2
2012,Oct,25017311300,1
2012,Oct,25017311700,1
2012,Oct,25017311800,2
2012,Oct,25017311900,2
2012,Oct,25017312000,1
2012,Oct,25017312300,1
2012,Oct,25017388300,2
2012,Oct,25017310300,0
2012,Oct,25017310601,0
2012,Oct,25017310602,0
2012,Oct,25017311400,0
2012,Oct,25017311500,0
2012,Oct,25017311600,0
2012,Oct,25017312100,0
2012,Oct,25017312200,0
2012,Oct,25017312400,0
2012,Oct,25017312501,0
2012,Oct,25017312502,0
2012,Nov,25017310101,6
2012,Nov,25017310102,5
2012,Nov,25017310200,4
2012,Nov,25017310400,3
2012,Nov,25017310500,2
2012,Nov,25017310602,2
2012,Nov,25017310700,2
2012,Nov,25017311200,1
2012,Nov,25017311400,2
2012,Nov,25017311600,1
2012,Nov,25017311800,1
2012,Nov,25017311900,2
2012,Nov,25017312000,4
2012,Nov,25017312100,2
2012,Nov,25017312300,2
2012,Nov,25017312501,1
2012,Nov,25017388300,3
2012,Nov,25017310300,0
2012,Nov,25017310601,0
2012,Nov,25017311100,0
2012,Nov,25017311300,0
2012,Nov,25017311500,0
2012,Nov,25017311700,0
2012,Nov,25017312200,0
2012,Nov,25017312400,0
2012,Nov,25017312502,0
2012,Dec,25017310101,5
2012,Dec,25017310102,4
2012,Dec,25017310200,5
2012,Dec,25017310300,1
2012,Dec,25017310700,2
2012,Dec,25017311100,3
2012,Dec,25017311200,1
2012,Dec,25017311300,1
2012,Dec,25017311400,1
2012,Dec,25017311700,2
2012,Dec,25017311900,4
2012,Dec,25017312000,2
2012,Dec,25017312100,2
2012,Dec,25017312200,2
2012,Dec,25017312300,5
2012,Dec,25017312400,2
2012,Dec,25017312501,1
2012,Dec,25017388300,1
2012,Dec,25017310400,0
2012,Dec,25017310500,0
2012,Dec,25017310601,0
2012,Dec,25017310602,0
2012,Dec,25017311500,0
2012,Dec,25017311600,0
2012,Dec,25017311800,0
2012,Dec,25017312502,0
2013,Jan,25017310101,6
2013,Jan,25017310102,3
2013,Jan,25017310400,1
2013,Jan,25017310601,1
2013,Jan,25017310602,1
2013,Jan,25017310700,1
2013,Jan,25017311100,5
2013,Jan,25017311200,1
2013,Jan,25017311300,1
2013,Jan,25017311400,1
2013,Jan,25017311700,1
2013,Jan,25017311800,2
2013,Jan,25017311900,3
2013,Jan,25017312000,3
2013,Jan,25017312200,2
2013,Jan,25017312400,1
2013,Jan,25017312502,2
2013,Jan,25017388300,2
2013,Jan,25017310200,0
2013,Jan,25017310300,0
2013,Jan,25017310500,0
2013,Jan,25017311500,0
2013,Jan,25017311600,0
2013,Jan,25017312100,0
2013,Jan,25017312300,0
2013,Jan,25017312501,0
2013,Feb,25017310101,2
2013,Feb,25017310102,4
2013,Feb,25017310200,2
2013,Feb,25017310300,3
2013,Feb,25017310400,3
2013,Feb,25017310500,1
2013,Feb,25017310602,2
2013,Feb,25017311100,4
2013,Feb,25017311200,4
2013,Feb,25017311300,1
2013,Feb,25017311400,2
2013,Feb,25017311600,1
2013,Feb,25017311900,6
2013,Feb,25017312000,2
2013,Feb,25017312100,2
2013,Feb,25017312300,2
2013,Feb,25017312400,3
2013,Feb,25017388300,2
2013,Feb,25017310601,0
2013,Feb,25017310700,0
2013,Feb,25017311500,0
2013,Feb,25017311700,0
2013,Feb,25017311800,0
2013,Feb,25017312200,0
2013,Feb,25017312501,0
2013,Feb,25017312502,0
2013,Mar,25017310101,10
2013,Mar,25017310102,7
2013,Mar,25017310200,2
2013,Mar,25017310300,1
2013,Mar,25017310400,3
2013,Mar,25017310500,3
2013,Mar,25017310602,2
2013,Mar,25017311100,4
2013,Mar,25017311200,2
2013,Mar,25017311300,1
2013,Mar,25017311600,2
2013,Mar,25017311700,1
2013,Mar,25017311800,1
2013,Mar,25017311900,7
2013,Mar,25017312000,2
2013,Mar,25017312100,2
2013,Mar,25017312200,2
2013,Mar,25017312400,1
2013,Mar,25017312501,1
2013,Mar,25017388300,3
2013,Mar,25017310601,0
2013,Mar,25017310700,0
2013,Mar,25017311400,0
2013,Mar,25017311500,0
2013,Mar,25017312300,0
2013,Mar,25017312502,0
2013,Apr,25017310101,13
2013,Apr,25017310102,2
2013,Apr,25017310200,4
2013,Apr,25017310601,1
2013,Apr,25017310602,4
2013,Apr,25017310700,1
2013,Apr,25017311100,2
2013,Apr,25017311200,2
2013,Apr,25017311300,1
2013,Apr,25017311500,1
2013,Apr,25017311600,1
2013,Apr,25017311700,1
2013,Apr,25017311800,2
2013,Apr,25017311900,5
2013,Apr,25017312000,2
2013,Apr,25017312100,2
2013,Apr,25017312200,2
2013,Apr,25017312501,1
2013,Apr,25017312502,1
2013,Apr,25017388300,5
2013,Apr,25017310300,0
2013,Apr,25017310400,0
2013,Apr,25017310500,0
2013,Apr,25017311400,0
2013,Apr,25017312300,0
2013,Apr,25017312400,0
2013,May,25017310101,9
2013,May,25017310102,8
2013,May,25017310200,3
2013,May,25017310300,5
2013,May,25017310400,2
2013,May,25017310601,2
2013,May,25017310602,1
2013,May,25017310700,1
2013,May,25017311100,3
2013,May,25017311200,2
2013,May,25017311300,3
2013,May,25017311400,1
2013,May,25017311500,1
2013,May,25017311600,1
2013,May,25017311700,3
2013,May,25017311800,2
2013,May,25017311900,7
2013,May,25017312000,3
2013,May,25017312100,2
2013,May,25017312200,5
2013,May,25017312300,3
2013,May,25017312400,2
2013,May,25017312501,1
2013,May,25017388300,4
2013,May,25017310500,0
2013,May,25017312502,0
2013,Jun,25017310101,9
2013,Jun,25017310102,3
2013,Jun,25017310200,3
2013,Jun,25017310300,2
2013,Jun,25017310400,2
2013,Jun,25017310602,2
2013,Jun,25017310700,1
2013,Jun,25017311100,1
2013,Jun,25017311600,2
2013,Jun,25017311700,2
2013,Jun,25017311900,9
2013,Jun,25017312000,3
2013,Jun,25017312200,3
2013,Jun,25017312300,2
2013,Jun,25017312400,1
2013,Jun,25017312501,1
2013,Jun,25017388300,1
2013,Jun,25017310500,0
2013,Jun,25017310601,0
2013,Jun,25017311200,0
2013,Jun,25017311300,0
2013,Jun,25017311400,0
2013,Jun,25017311500,0
2013,Jun,25017311800,0
2013,Jun,25017312100,0
2013,Jun,25017312502,0
2013,Jul,25017310101,11
2013,Jul,25017310102,4
2013,Jul,25017310200,2
2013,Jul,25017310300,4
2013,Jul,25017310400,1
2013,Jul,25017310601,3
2013,Jul,25017310602,2
2013,Jul,25017310700,2
2013,Jul,25017311200,2
2013,Jul,25017311300,6
2013,Jul,25017311400,3
2013,Jul,25017311700,3
2013,Jul,25017311800,2
2013,Jul,25017311900,6
2013,Jul,25017312000,1
2013,Jul,25017312100,1
2013,Jul,25017312200,1
2013,Jul,25017312300,1
2013,Jul,25017312400,1
2013,Jul,25017312501,1
2013,Jul,25017388300,2
2013,Jul,25017310500,0
2013,Jul,25017311100,0
2013,Jul,25017311500,0
2013,Jul,25017311600,0
2013,Jul,25017312502,0
2013,Aug,25017310101,9
2013,Aug,25017310102,9
2013,Aug,25017310200,4
2013,Aug,25017310300,5
2013,Aug,25017310400,2
2013,Aug,25017310500,1
2013,Aug,25017310601,2
2013,Aug,25017310700,4
2013,Aug,25017311100,2
2013,Aug,25017311200,2
2013,Aug,25017311300,1
2013,Aug,25017311400,1
2013,Aug,25017311500,1
2013,Aug,25017311600,1
2013,Aug,25017311700,5
2013,Aug,25017311800,2
2013,Aug,25017311900,6
2013,Aug,25017312100,2
2013,Aug,25017312300,3
2013,Aug,25017312400,4
2013,Aug,25017312502,1
2013,Aug,25017388300,1
2013,Aug,25017310602,0
2013,Aug,25017312000,0
2013,Aug,25017312200,0
2013,Aug,25017312501,0
2013,Sep,25017310101,12
2013,Sep,25017310102,6
2013,Sep,25017310200,6
2013,Sep,25017310300,3
2013,Sep,25017310400,3
2013,Sep,25017310602,1
2013,Sep,25017310700,4
2013,Sep,25017311100,3
2013,Sep,25017311200,4
2013,Sep,25017311300,3
2013,Sep,25017311400,3
2013,Sep,25017311700,1
2013,Sep,25017311800,1
2013,Sep,25017311900,6
2013,Sep,25017312000,5
2013,Sep,25017312400,1
2013,Sep,25017388300,4
2013,Sep,25017310500,0
2013,Sep,25017310601,0
2013,Sep,25017311500,0
2013,Sep,25017311600,0
2013,Sep,25017312100,0
2013,Sep,25017312200,0
2013,Sep,25017312300,0
2013,Sep,25017312501,0
2013,Sep,25017312502,0
2013,Oct,25017310101,16
2013,Oct,25017310102,7
2013,Oct,25017310200,2
2013,Oct,25017310300,2
2013,Oct,25017310400,2
2013,Oct,25017310602,1
2013,Oct,25017311100,2
2013,Oct,25017311200,4
2013,Oct,25017311400,1
2013,Oct,25017311600,1
2013,Oct,25017311700,1
2013,Oct,25017311800,1
2013,Oct,25017311900,7
2013,Oct,25017312000,1
2013,Oct,25017312100,1
2013,Oct,25017312200,2
2013,Oct,25017312400,3
2013,Oct,25017388300,4
2013,Oct,25017310500,0
2013,Oct,25017310601,0
2013,Oct,25017310700,0
2013,Oct,25017311300,0
2013,Oct,25017311500,0
2013,Oct,25017312300,0
2013,Oct,25017312501,0
2013,Oct,25017312502,0
2013,Nov,25017310101,7
2013,Nov,25017310102,4
2013,Nov,25017310200,1
2013,Nov,25017310300,5
2013,Nov,25017310400,1
2013,Nov,25017310500,1
2013,Nov,25017310602,2
2013,Nov,25017310700,2
2013,Nov,25017311100,1
2013,Nov,25017311200,1
2013,Nov,25017311600,3
2013,Nov,25017311700,1
